pos,prk,name,team,bye,inj,age,exp,pts,value,lvalue,owner,bid,notes
QB,1,Drew Brees,NO,7,,34,12,1,,,,,
QB,2,Aaron Rodgers  ,GB,4,,29,8,1,,,,,
QB,3,Cam Newton,CAR,4,,24,2,1,,,,,
QB,4,Peyton Manning,DEN,9,,37,15,1,,,,,
QB,5,Colin Kaepernick,SF,9,,25,2,1,,,,,
QB,6,Tom Brady,NE,10,,36,13,1,,,,,
QB,7,Russell Wilson  ,SEA,12,,24,1,1,,,,,
QB,8,Matthew Stafford,DET,9,,25,4,1,,,,,
QB,9,Robert Griffin III,WAS,5,,23,1,1,,,,,
QB,10,Matt Ryan  ,ATL,6,,28,5,1,,,,,
QB,11,Andrew Luck,IND,8,,23,1,1,,,,,
QB,12,Andy Dalton,CIN,12,,25,2,1,,,,,
QB,13,Tony Romo,DAL,11,,33,10,1,,,,,
QB,14,Eli Manning,NYG,9,,32,9,1,,,,,
QB,15,Josh Freeman  ,TB,5,,25,4,1,,,,,
QB,16,Sam Bradford  ,STL,11,,25,3,1,,,,,
QB,17,Philip Rivers,SD,8,,31,9,1,,,,,
QB,18,Ben Roethlisberger,PIT,5,,31,9,1,,,,,
QB,19,Joe Flacco,BAL,8,,28,5,1,,,,,
QB,20,Carson Palmer  ,ARI,9,,33,10,1,,,,,
QB,21,Ryan Tannehill,MIA,6,,25,1,1,,,,,
QB,22,Jay Cutler      ,CHI,8,,30,7,1,,,,,
QB,23,Alex Smith  ,KC,10,,29,8,1,,,,,
QB,24,Brandon Weeden,CLE,10,,29,1,1,,,,,
QB,25,Jake Locker,TEN,8,,25,2,1,,,,,
QB,26,Matt Schaub,HOU,8,,32,9,1,,,,,
QB,27,Christian Ponder,MIN,5,,25,2,1,,,,,
QB,28,Blaine Gabbert,JAX,9,,23,2,1,,,,,
QB,29,E.J. Manuel  ,BUF,12,,23,R,1,,,,,
QB,30,Geno Smith,NYJ,10,,22,R,1,,,,,
QB,31,Michael Vick  ,PHI,12,,33,12,1,,,,,
QB,32,Nick Foles,PHI,12,,24,1,1,,,,,
QB,33,Matt Flynn,OAK,7,,28,5,1,,,,,
QB,34,Kevin Kolb  ,BUF,12,,28,6,1,,,,,
QB,35,Tyler Wilson,OAK,7,,23,R,1,,,,,
QB,36,Mark Sanchez,NYJ,10,,26,4,1,,,,,
QB,37,Joe Webb,MIN,5,,26,3,1,,,,,
QB,38,Tim Tebow,NE,10,,25,3,1,,,,,
QB,39,Chad Henne,JAX,9,,28,5,1,,,,,
QB,40,Matt Cassel,MIN,5,,31,8,1,,,,,
QB,41,Kirk Cousins,WAS,5,,24,1,1,,,,,
QB,42,Terrelle Pryor,OAK,7,,24,2,1,,,,,
QB,43,Kyle Orton,DAL,11,,30,8,1,,,,,
QB,44,T.J. Yates,HOU,8,,26,2,1,,,,,
QB,45,Shaun Hill,DET,9,,33,11,1,,,,,
QB,46,Charlie Whitehurst,SD,8,,31,7,1,,,,,
QB,47,Bruce Gradkowski,PIT,5,,30,7,1,,,,,
QB,48,Matt Moore,MIA,6,,28,6,1,,,,,
QB,49,Dan Orlovsky,TB,5,,29,8,1,,,,,
QB,50,Colt McCoy,SF,9,,26,3,1,,,,,
QB,51,Brady Quinn,SEA,12,,28,6,1,,,,,
QB,52,Ryan Mallett,NE,10,,25,2,1,,,,,
RB,1,Adrian Peterson,MIN,5,,28,6,291,,,,,
RB,2,Jamaal Charles  ,KC,10,,26,5,277,,,,,
RB,3,Doug Martin,TB,5,,24,1,275,,,,,
